Cluster	Gene	FY23.SC_FY23.SC.1	FY23.SC_FY23.SC.2	FY23.YE_FY23.YE.1	FY23.YE_FY23.YE.2	FY24.SC_FY24.SC.1	FY24.SC_FY24.SC.2	FY24.YE_FY24.YE.1	FY24.YE_FY24.YE.2	Transcript
VIII_506234_506316_+	YHR204W__MNL1	16.364	15.324	19.137	18.652	19.299	17.849	19.184	21.107	YHR204W_mRNA
VIII_508687_508691_-	.	0.499	0.108	0.568	0.296	0.513	0.374	0.294	0	NA
VIII_508881_509003_+	YHR205W__SCH9	34.124	35.396	39.22	42.93	29.462	37.1	32.69	35.803	YHR205W_mRNA
VIII_509068_509154_-	.	1.996	2.374	0.379	1.086	1.335	1.495	0.881	0.789	NA
VIII_50967_51080_+	YHL027W__RIM101	48.093	46.295	28.515	33.357	39.728	44.95	25.35	33.337	YHL027W_mRNA
VIII_512047_512159_-	.	2.594	2.374	1.895	2.171	1.848	1.776	2.349	2.269	NA
VIII_512412_512551_+	YHR206W__SKN7	16.763	17.914	16.579	19.047	16.117	17.662	18.401	15.386	YHR206W_mRNA
VIII_512585_512593_+	YHR206W__SKN7	0.399	0.216	0.379	0.395	0.205	0.28	0.196	0.197	YHR206W_mRNA
VIII_515996_516005_-	YHR207C__YHR207C	0.1	0.108	0.189	0.296	0	0	0	0.099	YHR207C_mRNA
VIII_516488_516573_-	YHR207C__YHR207C	17.361	15.647	14.779	16.975	14.782	15.7	14.877	14.104	YHR207C_mRNA
VIII_516615_516733_+	YHR208W__BAT1	6.885	6.799	6.253	5.625	9.547	7.196	5.775	5.622	YHR208W_mRNA
VIII_517451_517522_+	YHR208W__BAT1	172.416	167.373	127.609	113.69	189.093	183.818	127.14	130.982	YHR208W_mRNA
VIII_518963_519066_+	YHR209W__YHR209W	3.792	5.288	3.6	3.553	5.133	4.953	2.838	2.959	YHR209W_mRNA
VIII_519104_519127_+	YHR209W__YHR209W	0.898	1.079	0.095	0.296	0.924	0.935	0.392	0.592	YHR209W_mRNA
VIII_519131_519138_+	YHR209W__YHR209W	0.399	0.108	0.284	0.296	0.103	0.093	0	0	YHR209W_mRNA
VIII_519200_519260_-	.	1.896	1.295	0.853	0.79	0.924	0.561	0.979	0.296	NA
VIII_519398_519529_+	YHR209W__YHR209W	6.386	5.611	3.316	3.454	4.825	7.383	3.817	3.945	YHR209W_mRNA
VIII_519624_519629_+	YHR209W__YHR209W	0.499	0.108	0.189	0.296	0.205	0.093	0.196	0.197	YHR209W_mRNA
VIII_519743_519748_+	YHR209W__YHR209W	0.1	0	0	0	0.205	0.374	0	0.099	YHR209W_mRNA
VIII_519787_519815_-	.	1.098	1.619	1.326	2.467	2.053	1.869	1.664	2.17	NA
VIII_520224_520289_-	.	2.395	1.619	1.895	3.158	1.642	2.243	2.349	1.973	NA
VIII_521747_521903_-	YHR210C__YHR210C	3.492	3.453	3.789	3.059	2.772	4.205	2.936	2.959	YHR210C_mRNA
VIII_522158_522292_+	.	6.086	5.611	5.21	5.231	6.467	6.822	5.579	5.03	NA
VIII_523031_523134_+	.	12.871	13.165	11.084	11.152	10.163	9.719	8.613	8.384	NA
VIII_529201_529324_-	.	3.792	1.727	2.463	2.961	3.08	4.205	3.132	2.762	NA
VIII_529366_529385_+	.	0.798	0.54	0.568	0.395	1.335	0.935	0.881	1.184	NA
VIII_529557_529565_+	.	0.998	1.511	1.137	1.382	0.924	1.028	0.979	0.69	NA
VIII_53404_53411_+	.	0.299	0.108	0.663	0.296	0.308	0.187	0.196	0.296	NA
VIII_54212_54241_-	YHL026C__YHL026C	5.887	5.827	4.074	3.948	6.057	7.196	4.307	3.847	YHL026C_mRNA
VIII_54312_54329_-	YHL026C__YHL026C	0.898	1.079	1.137	0.888	0.719	0.093	0.392	0.493	YHL026C_mRNA
VIII_54351_54355_-	YHL026C__YHL026C	0.299	0.324	0.474	0.197	0.103	0.187	0.392	0.592	YHL026C_mRNA
VIII_54751_54934_+	YHL025W__YHL025W	68.348	71.654	49.736	55.365	68.266	65.416	50.014	49.611	YHL025W_mRNA
VIII_549396_549415_-	.	68.647	72.626	241.765	264.981	64.263	61.865	219.437	236.517	NA
VIII_554163_554363_+	YHR216W__IMD2	32.428	31.079	111.598	118.032	35.211	34.67	99.637	103.464	YHR216W_mRNA
VIII_554379_554382_+	YHR216W__IMD2	0.798	0.54	2.558	2.566	0.513	0.561	1.762	2.762	YHR216W_mRNA
VIII_56481_56499_+	YHL024W__YHL024W	5.887	6.799	0.568	1.184	4.004	5.607	1.468	1.479	YHL024W_mRNA
VIII_57077_57087_+	YHL024W__YHL024W	0.698	0.54	0.758	0.493	0.924	1.215	0.783	0.493	YHL024W_mRNA
VIII_59004_59009_-	.	0.599	0.755	0.568	1.48	0.616	0.093	0.392	0.296	NA
VIII_59109_59162_+	.	0.998	0.971	0.853	0.987	0.719	0.841	1.272	0.986	NA
VIII_62560_62624_-	YHL023C__NPR3	16.364	11.763	13.547	13.224	14.372	12.522	11.451	12.625	YHL023C_mRNA
VIII_62942_62985_+	.	0.399	0.647	0.947	0.493	0.411	0.187	0.587	0.986	NA
VIII_63506_63509_-	YHL022C__YHL022C	0.898	1.403	0	0	2.053	1.402	0	0.197	YHL022C_mRNA
VIII_63506_63509_-	YHL023C__NPR3	0.898	1.403	0	0	2.053	1.402	0	0.197	YHL023C_mRNA
VIII_6393_6476_+	YHL048W__YHL048W	14.468	13.813	10.516	8.981	12.011	11.681	7.047	8.68	YHL048W_mRNA
VIII_64422_64525_+	.	1.796	0.971	1.705	1.875	1.129	3.177	2.447	1.874	NA
VIII_65745_65760_+	.	0	0.108	0.474	0.099	0.103	0	0.294	0.197	NA
VIII_65781_65784_-	YHL021C__AIM17	0.299	0.54	0.474	0.493	0.308	0.28	0.489	0.69	YHL021C_mRNA
VIII_65817_65946_-	YHL021C__AIM17	91.397	85.251	57.789	61.878	95.778	88.778	85.543	90.839	YHL021C_mRNA
VIII_66128_66268_+	.	0.698	1.079	1.421	1.875	1.437	1.121	1.566	1.677	NA
VIII_67439_67443_-	YHL020C__YHL020C	1.098	0.647	0.853	0.395	0.411	0.374	0.294	0.395	YHL020C_mRNA
VIII_67481_67545_-	YHL020C__YHL020C	79.224	78.237	24.631	25.067	69.806	74.293	23.294	20.022	YHL020C_mRNA
VIII_67739_67772_+	YHL019W-A__YHL019W-A	2.894	2.59	0.758	0.197	3.798	2.99	0.098	0.296	YHL019W-A_mRNA
VIII_69506_69607_-	YHL019C__YHL019C	11.175	12.734	8.905	7.994	11.497	10.56	8.124	8.778	YHL019C_mRNA
VIII_69682_69699_+	YHL017W__YHL017W	8.88	9.496	8.147	7.007	9.342	9.252	8.026	5.918	YHL017W_mRNA
VIII_69682_69699_+	YHL018W__YHL018W	8.88	9.496	8.147	7.007	9.342	9.252	8.026	5.918	YHL018W_mRNA
VIII_70240_70278_+	YHL017W__YHL017W	35.122	28.921	32.684	33.456	33.671	28.596	37.878	35.113	YHL017W_mRNA
VIII_70240_70278_+	YHL018W__YHL018W	35.122	28.921	32.684	33.456	33.671	28.596	37.878	35.113	YHL018W_mRNA
VIII_74505_74522_-	YHL016C__YHL016C	0.499	0.863	1.042	0.987	0.205	0.187	1.468	0.395	YHL016C_mRNA
VIII_75027_75044_-	YHL016C__YHL016C	1.297	3.022	1.042	1.086	2.464	3.364	1.175	1.085	YHL016C_mRNA
VIII_75325_75446_+	YHL015W-A__YHL015W-A	2525.078	2371.825	3207.932	2970.647	2693.083	2693.816	3169.017	3152.25	YHL015W-A_mRNA
VIII_75325_75446_+	YHL015W__RPS20	2525.078	2371.825	3207.932	2970.647	2693.083	2693.816	3169.017	3152.25	YHL015W_mRNA
VIII_75498_75502_+	YHL015W-A__YHL015W-A	0.499	0.216	1.326	0.691	0.616	0.561	0.587	1.085	YHL015W-A_mRNA
VIII_75498_75502_+	YHL015W__RPS20	0.499	0.216	1.326	0.691	0.616	0.561	0.587	1.085	YHL015W_mRNA
VIII_75569_75572_+	YHL015W-A__YHL015W-A	0.499	0.647	0.474	0.79	0.513	0.561	1.175	1.184	YHL015W-A_mRNA
VIII_75569_75572_+	YHL015W__RPS20	0.499	0.647	0.474	0.79	0.513	0.561	1.175	1.184	YHL015W_mRNA
VIII_75593_75595_+	YHL015W-A__YHL015W-A	0.798	0.863	0.947	1.382	0.616	1.028	1.468	1.578	YHL015W-A_mRNA
VIII_75593_75595_+	YHL015W__RPS20	0.798	0.863	0.947	1.382	0.616	1.028	1.468	1.578	YHL015W_mRNA
VIII_75613_75616_+	YHL015W-A__YHL015W-A	0.499	0.108	0.853	0.592	0.308	0.374	0.098	0.493	YHL015W-A_mRNA
VIII_75613_75616_+	YHL015W__RPS20	0.499	0.108	0.853	0.592	0.308	0.374	0.098	0.493	YHL015W_mRNA
VIII_77145_77148_-	YHL014C__YLF2	0.798	0.216	0	0.197	0.308	0.374	0.196	0.789	YHL014C_mRNA
VIII_77301_77335_-	YHL014C__YLF2	11.474	13.381	11.368	11.547	12.216	11.681	10.081	9.271	YHL014C_mRNA
VIII_78334_78402_-	YHL013C__YHL013C	26.441	26.87	25.768	31.383	23.919	23.363	26.818	27.321	YHL013C_mRNA
VIII_81575_81584_-	YHL011C__YHL011C	0.599	0.432	0.284	0.099	0.308	0.748	0.196	0.592	YHL011C_mRNA
VIII_81654_81754_-	YHL011C__YHL011C	40.909	37.985	49.547	49.838	40.036	42.146	48.938	50.696	YHL011C_mRNA
VIII_83718_83794_-	YHL010C__ETP1	13.969	17.266	7.958	10.658	14.167	15.326	8.515	8.877	YHL010C_mRNA
VIII_85119_85222_-	YHL009C__YHL009C	28.237	32.59	25.01	27.534	29.976	27.194	25.546	27.025	YHL009C_mRNA
VIII_93066_93070_-	.	0.1	0.108	0.189	0.197	0.103	0.187	0	0	NA
VIII_93093_93096_-	.	0.798	0.54	0.379	0.691	0.616	1.121	0.587	0.592	NA
VIII_94637_94678_-	YHL008C__YHL008C	11.574	12.626	8.431	9.277	13.037	10.373	9.494	9.567	YHL008C_mRNA
VIII_94708_94711_-	YHL008C__YHL008C	0.898	1.403	0.379	1.382	1.95	1.962	1.468	0.296	YHL008C_mRNA
VIII_95005_95007_+	.	0.1	0	0.284	0.395	0.205	0	0.489	0.395	NA
VIII_97975_98087_-	YHL006C__YHL006C	35.621	30.647	30.884	22.797	30.078	26.727	24.958	24.263	YHL006C_mRNA
VIII_97975_98087_-	YHL007C__YHL007C	35.621	30.647	30.884	22.797	30.078	26.727	24.958	24.263	YHL007C_mRNA
VIII_98384_98469_-	YHL005C__YHL005C	4.091	6.043	4.547	6.119	5.441	4.205	5.97	5.03	YHL005C_mRNA
VIII_98384_98469_-	YHL006C__YHL006C	4.091	6.043	4.547	6.119	5.441	4.205	5.97	5.03	YHL006C_mRNA
VIII_98384_98469_-	YHL007C__YHL007C	4.091	6.043	4.547	6.119	5.441	4.205	5.97	5.03	YHL007C_mRNA
VIII_98430_98436_+	YHL004W__YHL004W	0.698	0.108	1.8	1.776	1.027	1.308	1.37	1.578	YHL004W_mRNA
VIII_98430_98436_+	YHL006W-A__YHL006W-A	0.698	0.108	1.8	1.776	1.027	1.308	1.37	1.578	YHL006W-A_mRNA
VIII_98824_98876_-	YHL005C__YHL005C	4.69	5.396	3.979	6.711	6.159	5.327	4.307	3.353	YHL005C_mRNA
VIII_98824_98876_-	YHL006C__YHL006C	4.69	5.396	3.979	6.711	6.159	5.327	4.307	3.353	YHL006C_mRNA
VIII_99117_99119_+	YHL004W__YHL004W	0.2	0.216	0.189	0.197	0	0.187	0.196	0.197	YHL004W_mRNA
VIII_99121_99186_+	YHL004W__YHL004W	46.397	47.05	44.62	42.732	42.397	42.52	41.206	43.2	YHL004W_mRNA
X_100826_100840_-	YJL170C__YJL170C	0.798	0.647	2.463	2.369	0.924	1.028	2.055	1.381	YJL170C_mRNA
X_100826_100840_-	YJL171C__YJL171C	0.798	0.647	2.463	2.369	0.924	1.028	2.055	1.381	YJL171C_mRNA
X_100878_100887_-	YJL170C__YJL170C	1.596	1.511	0.947	0.888	1.642	1.121	1.175	1.085	YJL170C_mRNA
X_100878_100887_-	YJL171C__YJL171C	1.596	1.511	0.947	0.888	1.642	1.121	1.175	1.085	YJL171C_mRNA
X_100910_100958_-	YJL170C__YJL170C	65.654	57.626	57.22	61.681	53.176	53.828	40.912	47.146	YJL170C_mRNA
X_100910_100958_-	YJL171C__YJL171C	65.654	57.626	57.22	61.681	53.176	53.828	40.912	47.146	YJL171C_mRNA
X_101788_101792_-	YJL170C__YJL170C	3.592	2.266	3.789	2.467	0	0	0	0	YJL170C_mRNA
X_101788_101792_-	YJL171C__YJL171C	3.592	2.266	3.789	2.467	0	0	0	0	YJL171C_mRNA
X_104468_104537_-	YJL168C__SET2	45.199	41.331	32.115	35.035	43.424	41.025	29.95	27.321	YJL168C_mRNA
X_104751_104760_+	YJL167W__ERG20	0.798	1.942	0.095	0.395	0.821	0.841	1.077	1.184	YJL167W_mRNA
X_104762_104764_+	YJL167W__ERG20	0.998	0.971	0.284	0.099	0.616	0.654	0.196	0.099	YJL167W_mRNA
X_104893_104972_+	YJL167W__ERG20	118.636	118.92	85.262	90.893	106.352	110.085	76.832	75.749	YJL167W_mRNA
X_106280_106449_+	YJL166W__QCR8	648.057	645.537	384.436	409.363	681.021	629.112	471.956	476.191	YJL166W_mRNA
X_109458_109462_-	YJL165C__YJL165C	1.497	0.971	0.947	1.48	0.411	0.935	0.685	1.973	YJL165C_mRNA
X_109493_109637_-	YJL165C__YJL165C	24.246	26.978	25.389	25.067	25.561	25.232	27.112	26.137	YJL165C_mRNA
X_109840_109843_-	YJL165C__YJL165C	0.698	0.647	0.379	1.086	1.129	1.028	0.587	0.493	YJL165C_mRNA
X_111303_111403_-	YJL164C__TPK1	92.494	90.108	61.199	58.424	91.056	92.423	66.262	71.409	YJL164C_mRNA
X_111551_111555_+	.	0.399	0.324	0.568	0.493	0.411	0.28	0.294	0.296	NA
X_113404_113416_-	YJL163C__YJL163C	3.692	3.669	1.326	3.059	4.004	3.831	2.349	1.677	YJL163C_mRNA
X_115667_115678_-	YJL162C__YJL162C	5.288	4.856	4.168	4.046	5.133	4.859	3.915	4.34	YJL162C_mRNA
X_115695_115703_-	YJL162C__YJL162C	1.497	0.324	0.853	0.987	0.924	0.841	1.37	0.888	YJL162C_mRNA
X_115741_115744_-	YJL162C__YJL162C	0.599	0.647	0.284	0.79	0.719	1.028	0.881	0.592	YJL162C_mRNA
X_116468_116471_-	YJL162C__YJL162C	1.996	2.374	0.947	1.184	2.053	1.589	1.468	1.381	YJL162C_mRNA
X_116938_116942_-	.	2.694	3.022	1.326	0.493	2.669	3.084	1.175	1.085	NA
X_117045_117094_-	.	13.969	14.676	5.684	5.231	16.014	12.99	6.068	6.51	NA
X_117180_117226_+	YJL161W__YJL161W	21.851	18.453	4.832	3.849	18.683	19.251	6.949	5.523	YJL161W_mRNA
X_117294_117304_+	YJL161W__YJL161W	0.698	1.187	0.663	0.395	1.54	1.402	0.979	1.578	YJL161W_mRNA
X_117939_117942_+	YJL161W__YJL161W	0	0.216	0.095	0.493	0.103	0.093	0.294	0.296	YJL161W_mRNA
X_119101_119104_-	YJL160C__YJL160C	1.497	1.079	1.326	1.086	0.616	0.561	0.587	0.888	YJL160C_mRNA
X_119119_119123_-	YJL160C__YJL160C	3.193	2.266	2.747	2.961	1.95	2.804	2.447	2.071	YJL160C_mRNA
X_119130_119132_-	YJL160C__YJL160C	0.599	0.755	0.474	0.592	0.205	0.467	0.587	0.197	YJL160C_mRNA
X_120379_120443_+	YJL159W__HSP150	1076.304	1039.097	703.032	682.93	968.664	956.377	654.886	665.365	YJL159W_mRNA
X_120655_120687_+	YJL159W__HSP150	2.195	3.237	1.705	1.086	2.464	1.495	1.37	1.775	YJL159W_mRNA
X_120958_120967_+	YJL159W__HSP150	0.2	1.187	0.568	0.296	0.719	0.561	0	0.69	YJL159W_mRNA
X_121202_121209_+	YJL159W__HSP150	0.1	0.54	0.095	0.099	0.308	0.654	0.098	0.296	YJL159W_mRNA
X_122929_123004_-	YJL158C__CIS3	388.934	362.912	310.069	300.016	323.88	343.339	283.546	298.063	YJL158C_mRNA
X_123730_123734_+	.	0.1	0.324	0.095	0.395	0.411	0	0.294	0.592	NA
X_126365_126396_-	YJL157C__YJL157C	25.443	23.633	20.273	23.685	23.714	23.55	19.281	18.543	YJL157C_mRNA
X_128968_129035_-	YJL156C__YJL156C	18.16	21.691	11.274	13.126	17.862	19.531	10.277	10.948	YJL156C_mRNA
X_130752_130830_-	YJL155C__YJL155C	21.552	20.504	16.105	14.705	20.223	21.026	16.052	14.499	YJL155C_mRNA
X_133959_134045_-	YJL154C__VPS35	94.49	89.46	71.146	73.03	85.102	85.414	66.555	69.831	YJL154C_mRNA
X_134241_134247_+	.	0.998	0.971	1.611	1.678	0.821	0.467	0.881	0.493	NA
X_134258_134267_+	.	0.2	0.54	1.042	1.184	0.411	0.467	0.587	0.493	NA
X_135564_135567_-	YJL153C__INO1	0.798	1.942	0	0	0.821	0.374	0	0	YJL153C_mRNA
X_135927_135951_-	YJL151C__YJL151C	555.164	534.063	0.758	0.79	539.972	520.709	0.489	0.69	YJL151C_mRNA
X_135927_135951_-	YJL153C__INO1	555.164	534.063	0.758	0.79	539.972	520.709	0.489	0.69	YJL153C_mRNA
X_136346_136350_+	YJL150W__YJL150W	2.594	3.129	0.284	0	3.182	3.738	0.489	0.197	YJL150W_mRNA
X_136346_136350_+	YJL152W__YJL152W	2.594	3.129	0.284	0	3.182	3.738	0.489	0.197	YJL152W_mRNA
X_136688_136693_-	YJL151C__YJL151C	1.996	2.59	0.568	0.888	1.027	1.962	0.881	0.69	YJL151C_mRNA
X_136688_136693_-	YJL153C__INO1	1.996	2.59	0.568	0.888	1.027	1.962	0.881	0.69	YJL153C_mRNA
X_136787_136855_-	YJL151C__YJL151C	318.391	309.603	226.512	217.511	331.58	333.433	238.034	231.093	YJL151C_mRNA
X_136787_136855_-	YJL153C__INO1	318.391	309.603	226.512	217.511	331.58	333.433	238.034	231.093	YJL153C_mRNA
X_137020_137023_-	YJL151C__YJL151C	0.499	0.863	1.232	1.283	0.616	0.654	0.685	0.986	YJL151C_mRNA
X_137038_137041_-	YJL151C__YJL151C	1.397	0.971	1.421	1.184	1.232	1.962	1.077	0.592	YJL151C_mRNA
X_137313_137358_+	YJL149W__YJL149W	8.381	8.849	7.2	7.994	8.52	10.84	5.677	6.016	YJL149W_mRNA
X_137313_137358_+	YJL150W__YJL150W	8.381	8.849	7.2	7.994	8.52	10.84	5.677	6.016	YJL150W_mRNA
X_139895_139908_-	.	1.098	1.511	0.947	1.283	0.616	1.495	1.077	1.578	NA
X_139931_140110_-	.	43.304	41.87	35.621	37.995	33.261	32.614	38.759	32.548	NA
X_140350_140423_+	YJL148W__RPA34	101.574	108.237	149.871	146.455	110.766	108.029	145.737	137.788	YJL148W_mRNA
X_142609_142615_-	YJL147C__YJL147C	2.195	1.295	0.663	1.184	1.642	1.028	0.783	0.986	YJL147C_mRNA
X_142633_142635_-	YJL147C__YJL147C	6.186	5.719	3.695	3.454	7.802	6.261	4.6	3.353	YJL147C_mRNA
X_142645_142648_-	YJL147C__YJL147C	1.197	0.647	0.853	0.395	0.616	0.374	0.783	1.085	YJL147C_mRNA
X_142696_142700_-	YJL147C__YJL147C	0.399	0.216	0.568	0	0.719	0.561	0.294	0.296	YJL147C_mRNA
X_143148_143175_+	YJL146W__YJL146W	6.585	7.338	4.832	4.046	6.775	7.663	3.719	3.847	YJL146W_mRNA
X_143205_143210_+	YJL146W__YJL146W	2.395	3.129	1.326	0.79	2.566	2.336	1.86	0.592	YJL146W_mRNA
X_144901_144917_-	.	6.585	5.396	8.621	9.573	4.825	4.766	9.005	7.101	NA
X_145056_145157_+	YJL145W__YJL145W	41.707	41.655	61.673	56.648	42.192	48.408	54.321	56.22	YJL145W_mRNA
X_145168_145172_+	YJL145W__YJL145W	0.2	0.216	1.137	0.592	0.308	0.467	0.489	0.592	YJL145W_mRNA
X_146309_146335_+	YJL143W__TIM17	119.135	105.108	95.683	107.571	110.971	100.647	116.863	115.892	YJL143W_mRNA
X_146309_146335_+	YJL144W__YJL144W	119.135	105.108	95.683	107.571	110.971	100.647	116.863	115.892	YJL144W_mRNA
X_147043_147092_+	YJL143W__TIM17	235.875	248.956	251.807	252.053	267.83	254	257.021	262.951	YJL143W_mRNA
X_147043_147092_+	YJL144W__YJL144W	235.875	248.956	251.807	252.053	267.83	254	257.021	262.951	YJL144W_mRNA
X_150450_150501_-	YJL141C__YJL141C	90	86.654	44.052	54.279	88.695	89.059	54.223	51.683	YJL141C_mRNA
X_150829_150912_+	YJL140W__RPB4	163.735	170.935	135.756	146.554	147.62	152.138	136.928	166.884	YJL140W_mRNA
X_153078_153085_-	YJL139C__YJL139C	13.171	15.54	14.21	11.152	14.782	14.672	12.822	11.244	YJL139C_mRNA
X_153116_153119_-	YJL139C__YJL139C	1.696	1.511	1.421	0.493	1.027	0.561	1.468	1.578	YJL139C_mRNA
X_154706_154710_-	YJL138C__TIF2	1.796	2.374	3.221	3.158	2.053	1.962	2.936	2.762	YJL138C_mRNA
X_154717_154795_-	YJL138C__TIF2	645.762	635.393	739.884	744.216	652.791	641.073	721.441	696.631	YJL138C_mRNA
X_155013_155018_+	.	0.798	0.54	0.568	0.987	0.411	0.561	1.468	0.592	NA
X_156149_156151_-	YJL137C__YJL137C	1.098	1.295	0.379	0.493	1.129	1.495	0.489	0.493	YJL137C_mRNA
X_156209_156212_-	YJL137C__YJL137C	3.392	5.072	3.41	3.059	2.258	2.804	1.86	3.156	YJL137C_mRNA
X_157257_157373_-	YJL136C__RPS21B	1375.038	1366.506	1793.816	1841.444	1488.413	1462.133	1913.958	2701.9	YJL136C_mRNA
X_158121_158166_+	YJL134W__LCB3	31.929	36.367	30.315	30.396	33.363	31.306	28.384	29.491	YJL134W_mRNA
X_158121_158166_+	YJL135W__YJL135W	31.929	36.367	30.315	30.396	33.363	31.306	28.384	29.491	YJL135W_mRNA
X_159840_159901_-	YJL133C-A__YJL133C-A	229.489	231.042	60.82	73.918	226.46	218.301	58.725	59.573	YJL133C-A_mRNA
X_160463_160557_+	YJL133W__YJL133W	12.073	8.849	10.61	12.04	9.958	11.962	8.907	10.159	YJL133W_mRNA
X_160609_160613_+	YJL133W__YJL133W	0.2	0.216	0.095	0.395	0	0.187	0.392	0.296	YJL133W_mRNA
X_160918_160921_+	YJL132W__YJL132W	0	0.216	0.189	0.296	0.205	0.187	0.196	0.197	YJL132W_mRNA
X_160918_160921_+	YJL133W__YJL133W	0	0.216	0.189	0.296	0.205	0.187	0.196	0.197	YJL133W_mRNA
X_161590_161595_-	.	1.696	2.266	0	0.099	2.053	1.121	0	0	NA
X_161639_161654_-	.	9.379	8.093	0	0.395	6.57	5.701	0.196	0	NA
X_161685_161693_-	.	1.397	2.05	0	0	1.642	1.776	0	0.099	NA
X_161891_161896_+	YJL132W__YJL132W	4.39	4.317	1.611	1.48	5.03	5.327	1.566	1.282	YJL132W_mRNA
X_161981_161992_+	YJL132W__YJL132W	7.583	5.288	1.326	1.283	6.57	5.794	1.664	1.085	YJL132W_mRNA
X_163028_163031_+	.	0.1	0.216	0.853	1.875	0.308	0.093	1.762	1.479	NA
X_165373_165388_-	YJL131C__YJL131C	20.155	16.187	11.558	13.027	16.014	16.821	16.639	13.71	YJL131C_mRNA
X_172436_172533_-	YJL130C__YJL130C	33.924	31.295	23.589	24.672	26.588	32.427	21.435	18.641	YJL130C_mRNA
X_172879_172969_-	YJL130C__YJL130C	105.365	105.863	195.723	208.136	114.564	102.329	185.376	193.711	YJL130C_mRNA
X_177563_177609_-	YJL129C__YJL129C	37.516	45.647	32.21	37.502	43.218	39.062	34.55	33.535	YJL129C_mRNA
X_180296_180354_-	YJL128C__PBS2	32.528	33.777	23.21	25.067	27.615	27.755	24.567	23.178	YJL128C_mRNA
X_180482_180487_+	YJL127W-A__YJL127W-A	0.2	0.647	0.189	0.296	0.821	0.374	0	0.099	YJL127W-A_mRNA
X_180507_180550_+	YJL127W-A__YJL127W-A	26.042	24.82	26.81	25.857	25.253	25.232	26.524	25.644	YJL127W-A_mRNA
X_181214_181228_-	YJL127C-B__YJL127C-B	2.594	1.942	2.558	2.566	1.027	1.308	1.958	1.184	YJL127C-B_mRNA
X_181739_181828_-	YJL127C-B__YJL127C-B	88.503	90.647	76.357	77.767	93.622	92.33	82.509	80.483	YJL127C-B_mRNA
X_182470_182475_-	YJL127C-B__YJL127C-B	0.399	0.216	0.284	0.197	0.616	0.561	0.587	0.395	YJL127C-B_mRNA
X_184274_184312_-	YJL127C__SPT10	27.339	29.784	32.305	31.285	31.207	25.138	27.014	25.545	YJL127C_mRNA
X_184432_184499_+	YJL126W__YJL126W	8.78	8.201	8.337	8.981	8.931	9.158	7.145	7.89	YJL126W_mRNA
X_184531_184534_-	YJL127C__SPT10	0.2	0.432	0.095	0.296	0.411	0.467	0.392	0	YJL127C_mRNA
X_186688_186735_-	YJL124C__LSM1	30.033	26.007	28.421	29.409	26.793	24.764	27.307	26.039	YJL124C_mRNA
X_186688_186735_-	YJL125C__GCD14	30.033	26.007	28.421	29.409	26.793	24.764	27.307	26.039	YJL125C_mRNA
X_186742_186744_-	YJL124C__LSM1	0	0.54	0.189	0.197	0.308	0.187	0.489	0	YJL124C_mRNA
X_186742_186744_-	YJL125C__GCD14	0	0.54	0.189	0.197	0.308	0.187	0.489	0	YJL125C_mRNA
X_187776_187829_-	YJL124C__LSM1	77.527	77.482	69.062	72.635	68.061	72.238	68.611	71.212	YJL124C_mRNA
X_189197_189199_-	YJL123C__YJL123C	0.299	0.432	0.284	0.197	0.308	0.28	0.392	0.592	YJL123C_mRNA
X_189433_189496_-	YJL123C__YJL123C	180.299	186.582	161.998	169.351	188.682	172.51	159.831	170.237	YJL123C_mRNA
X_189667_189740_+	YJL122W__YJL122W	54.379	49.101	73.609	67.109	51.944	57.94	63.913	58.686	YJL122W_mRNA
X_191097_191135_-	YJL119C__YJL119C	92.195	90.323	102.03	94.051	88.49	82.517	90.143	96.757	YJL119C_mRNA
X_191097_191135_-	YJL121C__RPE1	92.195	90.323	102.03	94.051	88.49	82.517	90.143	96.757	YJL121C_mRNA
X_191634_191638_+	YJL117W__YJL117W	0.998	0.755	1.042	0.888	0.821	0.561	0.489	0.888	YJL117W_mRNA
X_191634_191638_+	YJL118W__YJL118W	0.998	0.755	1.042	0.888	0.821	0.561	0.489	0.888	YJL118W_mRNA
X_191634_191638_+	YJL120W__YJL120W	0.998	0.755	1.042	0.888	0.821	0.561	0.489	0.888	YJL120W_mRNA
X_191672_191687_+	YJL117W__YJL117W	6.585	5.719	7.105	5.724	5.235	5.046	4.404	3.945	YJL117W_mRNA
X_191672_191687_+	YJL118W__YJL118W	6.585	5.719	7.105	5.724	5.235	5.046	4.404	3.945	YJL118W_mRNA
X_191672_191687_+	YJL120W__YJL120W	6.585	5.719	7.105	5.724	5.235	5.046	4.404	3.945	YJL120W_mRNA
X_192230_192239_-	YJL119C__YJL119C	3.093	2.482	4.358	3.158	2.874	3.551	3.426	2.564	YJL119C_mRNA
X_192435_192525_+	YJL117W__YJL117W	31.031	34.748	41.778	43.127	27.922	32.614	38.269	36.888	YJL117W_mRNA
X_192435_192525_+	YJL118W__YJL118W	31.031	34.748	41.778	43.127	27.922	32.614	38.269	36.888	YJL118W_mRNA
X_193783_193786_+	.	0.299	0.971	0.568	0.888	0.411	0.187	0.685	0.197	NA
X_193802_193813_+	.	0.998	0.54	1.421	0.395	1.027	0.935	0.783	0.888	NA
X_195071_195092_-	YJL116C__YJL116C	10.477	7.338	5.21	4.342	4.312	5.42	3.132	5.326	YJL116C_mRNA
